objective_name,variable_name,coefficient
PENALTY,R0100039,-21
PENALTY,R0300040,200
PENALTY,R0200040,-40
PENALTY,R0100040,-21
PENALTY,R0300041,200
PENALTY,R0200041,-40
PENALTY,R0100041,-21
PENALTY,R0300042,200
PENALTY,R0200042,-40
PENALTY,R0100042,-21
PENALTY,R0300043,200
PENALTY,R0200043,-40
PENALTY,R0100043,-21
PENALTY,R0300044,200
PENALTY,R0200044,-40
PENALTY,R0100044,-21
PENALTY,R0300045,200
PENALTY,R0200045,-40
PENALTY,R0100045,-21
PENALTY,R0300046,200
PENALTY,R0200046,-40
PENALTY,R0100046,-21
PENALTY,R0300047,200
PENALTY,R0200047,-40
PENALTY,R0100047,-21
PENALTY,R0300048,200
PENALTY,R0200048,-40
PENALTY,R0100048,-21
PENALTY,R0300049,200
PENALTY,R0200049,-40
PENALTY,R0100049,-21
PENALTY,R0300050,370
PENALTY,R0200050,-74
PENALTY,R0100050,-38.85
PENALTY,R0300051,210
PENALTY,R0200051,-42
PENALTY,R0100051,-22.05
PENALTY,R0300052,200
PENALTY,R0200052,-40
PENALTY,R0100052,-21
PENALTY,R0300053,430
PENALTY,R0200053,-86
PENALTY,R0100053,-45.15
PENALTY,R0300054,200
PENALTY,R0200054,-40
PENALTY,R0100054,-21
PENALTY,R0300055,200
PENALTY,R0200055,-40
PENALTY,R0100055,-21
PENALTY,R0300056,240
PENALTY,R0200056,-48
PENALTY,R0100056,-25.2
PENALTY,R0300057,200
PENALTY,R0200057,-40
PENALTY,R0100057,-21
PENALTY,R0300058,200
PENALTY,R0200058,-40
PENALTY,R0100058,-21
PENALTY,R0300059,200
PENALTY,R0200059,-40
PENALTY,R0100059,-21
PENALTY,R0300060,290
PENALTY,R0200060,-58
PENALTY,R0100060,-30.45
PENALTY,R0300061,200
PENALTY,R0200061,-40
PENALTY,R0100061,-21
PENALTY,R0300062,200
PENALTY,R0200062,-40
PENALTY,R0100062,-21
PENALTY,R0300063,200
PENALTY,R0200063,-40
PENALTY,R0100063,-21
PENALTY,R0300064,340
PENALTY,R0200064,-68
PENALTY,R0100064,-35.7
PENALTY,R0300065,200
PENALTY,R0200065,-40
PENALTY,R0100065,-21
PENALTY,R0300066,200
PENALTY,R0200066,-40
PENALTY,R0100066,-21
PENALTY,R0300067,300
PENALTY,R0200067,-60
PENALTY,R0100067,-31.5
PENALTY,R0300068,390
PENALTY,R0200068,-78
PENALTY,R0100068,-40.95
PENALTY,R0300069,330
PENALTY,R0200069,-66
PENALTY,R0100069,-34.65
PENALTY,R0300070,200
PENALTY,R0200070,-40
PENALTY,R0100070,-21
PENALTY,R0300071,470
PENALTY,R0200071,-94
PENALTY,R0100071,-49.35
PENALTY,R0300072,200
PENALTY,R0200072,-40
PENALTY,R0100072,-21
PENALTY,R0300073,200
PENALTY,R0200073,-40
PENALTY,R0100073,-21
PENALTY,R0300074,200
PENALTY,R0200074,-40
PENALTY,R0100074,-21
PENALTY,R0300075,200
PENALTY,R0200075,-40
PENALTY,R0100075,-21
PENALTY,R0300076,200
PENALTY,R0200076,-40
PENALTY,R0100076,-21
PENALTY,R0300077,200
PENALTY,R0200077,-40
PENALTY,R0100077,-21
PENALTY,R0300078,320
PENALTY,R0200078,-64
PENALTY,R0100078,-33.6
PENALTY,R0300079,200
PENALTY,R0200079,-40
PENALTY,R0100079,-21
PENALTY,R0300080,200
PENALTY,R0200080,-40
PENALTY,R0100080,-21
PENALTY,R0300081,200
PENALTY,R0200081,-40
PENALTY,R0100081,-21
PENALTY,R0300082,200
PENALTY,R0200082,-40
PENALTY,R0100082,-21
PENALTY,R0300083,250
PENALTY,R0200083,-50
PENALTY,R0100083,-26.25
PENALTY,R0300084,200
PENALTY,R0200084,-40
PENALTY,R0100084,-21
PENALTY,R0300085,440
PENALTY,R0200085,-88
PENALTY,R0100085,-46.2
PENALTY,R0300086,200
PENALTY,R0200086,-40
PENALTY,R0100086,-21
PENALTY,R0300087,200
PENALTY,R0200087,-40
PENALTY,R0100087,-21
PENALTY,R0300088,200
PENALTY,R0200088,-40
PENALTY,R0100088,-21
PENALTY,R0300089,200
PENALTY,R0200089,-40
PENALTY,R0100089,-21
PENALTY,R0300090,320
PENALTY,R0200090,-64
PENALTY,R0100090,-33.6
PENALTY,R0300091,200
PENALTY,R0200091,-40
PENALTY,R0100091,-21
PENALTY,R0300092,200
PENALTY,R0200092,-40
PENALTY,R0100092,-21
PENALTY,R0300093,200
PENALTY,R0200093,-40
PENALTY,R0100093,-21
PENALTY,R0300094,200
PENALTY,R0200094,-40
PENALTY,R0100094,-21
PENALTY,R0300095,200
PENALTY,R0200095,-40
PENALTY,R0100095,-21
PENALTY,R0300096,200
PENALTY,R0200096,-40
PENALTY,R0100096,-21
PENALTY,R0300097,470
PENALTY,R0200097,-94
PENALTY,R0100097,-49.35
PENALTY,R0300098,300
PENALTY,R0200098,-60
PENALTY,R0100098,-31.5
PENALTY,R0300099,200
PENALTY,R0200099,-40
PENALTY,R0100099,-21
PENALTY,R0300100,200
PENALTY,R0200100,-40
PENALTY,R0100100,-21
PENALTY,R0300101,260
PENALTY,R0200101,-52
PENALTY,R0100101,-27.3
PENALTY,R0300102,200
PENALTY,R0200102,-40
PENALTY,R0100102,-21
PENALTY,R0300103,200
PENALTY,R0200103,-40
PENALTY,R0100103,-21
PENALTY,R0300104,200
PENALTY,R0200104,-40
PENALTY,R0100104,-21
PENALTY,R0300105,210
PENALTY,R0200105,-42
PENALTY,R0100105,-22.05
PENALTY,R0300106,200
PENALTY,R0200106,-40
PENALTY,R0100106,-21
PENALTY,R0300107,200
PENALTY,R0200107,-40
PENALTY,R0100107,-21
PENALTY,R0300108,200
PENALTY,R0200108,-40
PENALTY,R0100108,-21
PENALTY,R0300109,270
PENALTY,R0200109,-54
PENALTY,R0100109,-28.35
PENALTY,R0300110,280
PENALTY,R0200110,-56
PENALTY,R0100110,-29.4
PENALTY,R0300111,200
PENALTY,R0200111,-40
PENALTY,R0100111,-21
PENALTY,R0300112,200
PENALTY,R0200112,-40
PENALTY,R0100112,-21
PENALTY,R0300113,220
PENALTY,R0200113,-44
PENALTY,R0100113,-23.1
PENALTY,R0300114,200
PENALTY,R0200114,-40
PENALTY,R0100114,-21
PENALTY,R0300115,210
PENALTY,R0200115,-42
PENALTY,R0100115,-22.05
PENALTY,R0300116,200
PENALTY,R0200116,-40
PENALTY,R0100116,-21
PENALTY,R0300117,200
PENALTY,R0200117,-40
PENALTY,R0100117,-21
PENALTY,R0300118,300
PENALTY,R0200118,-60
PENALTY,R0100118,-31.5
PENALTY,R0300119,200
PENALTY,R0200119,-40
PENALTY,R0100119,-21
PENALTY,R0300120,200
PENALTY,R0200120,-40
PENALTY,R0100120,-21
PENALTY,R0300121,200
PENALTY,R0200121,-40
PENALTY,R0100121,-21
PENALTY,R0300122,200
PENALTY,R0200122,-40
PENALTY,R0100122,-21
PENALTY,R0300123,200
PENALTY,R0200123,-40
PENALTY,R0100123,-21
PENALTY,R0300124,200
PENALTY,R0200124,-40
PENALTY,R0100124,-21
PENALTY,R0300125,200
PENALTY,R0200125,-40
PENALTY,R0100125,-21
PENALTY,R0300126,200
PENALTY,R0200126,-40
PENALTY,R0100126,-21
PENALTY,R0300127,200
PENALTY,R0200127,-40
PENALTY,R0100127,-21
PENALTY,R0300128,200
PENALTY,R0200128,-40
PENALTY,R0100128,-21
PENALTY,R0300129,200
PENALTY,R0200129,-40
PENALTY,R0100129,-21
PENALTY,R0300130,200
PENALTY,R0200130,-40
PENALTY,R0100130,-21
PENALTY,R0300131,210
PENALTY,R0200131,-42
PENALTY,R0100131,-22.05
PENALTY,R0300132,200
PENALTY,R0200132,-40
PENALTY,R0100132,-21
PENALTY,R0300133,200
PENALTY,R0200133,-40
PENALTY,R0100133,-21
PENALTY,R0300134,200
PENALTY,R0200134,-40
PENALTY,R0100134,-21
PENALTY,R0300135,350
PENALTY,R0200135,-70
PENALTY,R0100135,-36.75
PENALTY,R0300136,200
PENALTY,R0200136,-40
PENALTY,R0100136,-21
PENALTY,R0300137,290
PENALTY,R0200137,-58
PENALTY,R0100137,-30.45
PENALTY,R0300138,200
PENALTY,R0200138,-40
PENALTY,R0100138,-21
PENALTY,R0300139,200
PENALTY,R0200139,-40
PENALTY,R0100139,-21
PENALTY,R0300140,200
PENALTY,R0200140,-40
PENALTY,R0100140,-21
PENALTY,R0300141,200
PENALTY,R0200141,-40
PENALTY,R0100141,-21
PENALTY,R0300142,220
PENALTY,R0200142,-44
PENALTY,R0100142,-23.1
PENALTY,R0300143,200
PENALTY,R0200143,-40
PENALTY,R0100143,-21
PENALTY,R0300144,200
PENALTY,R0200144,-40
PENALTY,R0100144,-21
PENALTY,R0300145,200
PENALTY,R0200145,-40
PENALTY,R0100145,-21
PENALTY,R0300146,200
PENALTY,R0200146,-40
PENALTY,R0100146,-21
PENALTY,R0300147,200
PENALTY,R0200147,-40
PENALTY,R0100147,-21
PENALTY,R0300148,270
PENALTY,R0200148,-54
PENALTY,R0100148,-28.35
PENALTY,R0300149,200
PENALTY,R0200149,-40
PENALTY,R0100149,-21
PENALTY,R0300150,200
PENALTY,R0200150,-40
PENALTY,R0100150,-21
PENALTY,R0300151,200
PENALTY,R0200151,-40
PENALTY,R0100151,-21
PENALTY,R0300152,200
PENALTY,R0200152,-40
PENALTY,R0100152,-21
PENALTY,R0300153,250
PENALTY,R0200153,-50
PENALTY,R0100153,-26.25
PENALTY,R0300154,200
PENALTY,R0200154,-40
PENALTY,R0100154,-21
PENALTY,R0300155,200
PENALTY,R0200155,-40
PENALTY,R0100155,-21
PENALTY,R0300156,200
PENALTY,R0200156,-40
PENALTY,R0100156,-21
PENALTY,R0300157,390
PENALTY,R0200157,-78
PENALTY,R0100157,-40.95
PENALTY,R0300158,200
PENALTY,R0200158,-40
PENALTY,R0100158,-21
PENALTY,R0300159,220
PENALTY,R0200159,-44
PENALTY,R0100159,-23.1
PENALTY,R0300160,200
PENALTY,R0200160,-40
PENALTY,R0100160,-21
PENALTY,R0300161,250
PENALTY,R0200161,-50
PENALTY,R0100161,-26.25
PENALTY,R0300162,200
PENALTY,R0200162,-40
PENALTY,R0100162,-21
PENALTY,R0300163,200
PENALTY,R0200163,-40
PENALTY,R0100163,-21
PENALTY,R0300164,200
PENALTY,R0200164,-40
PENALTY,R0100164,-21
PENALTY,R0300165,290
PENALTY,R0200165,-58
PENALTY,R0100165,-30.45
PENALTY,R0300166,200
PENALTY,R0200166,-40
PENALTY,R0100166,-21
PENALTY,R0300167,200
PENALTY,R0200167,-40
PENALTY,R0100167,-21
PENALTY,R0300168,200
PENALTY,R0200168,-40
PENALTY,R0100168,-21
PENALTY,R0300169,200
PENALTY,R0200169,-40
PENALTY,R0100169,-21
PENALTY,R0300170,220
PENALTY,R0200170,-44
PENALTY,R0100170,-23.1
PENALTY,R0300171,200
PENALTY,R0200171,-40
PENALTY,R0100171,-21
PENALTY,R0300172,200
PENALTY,R0200172,-40
PENALTY,R0100172,-21
PENALTY,R0300173,200
PENALTY,R0200173,-40
PENALTY,R0100173,-21
PENALTY,R0300174,370
PENALTY,R0200174,-74
PENALTY,R0100174,-38.85
PENALTY,R0300175,200
PENALTY,R0200175,-40
PENALTY,R0100175,-21
PENALTY,R0300176,200
PENALTY,R0200176,-40
PENALTY,R0100176,-21
PENALTY,R0300177,200
PENALTY,R0200177,-40
PENALTY,R0100177,-21
PENALTY,R0300178,200
PENALTY,R0200178,-40
PENALTY,R0100178,-21
PENALTY,R0300179,200
PENALTY,R0200179,-40
PENALTY,R0100179,-21
PENALTY,R0300180,510
PENALTY,R0200180,-102
PENALTY,R0100180,-53.55
PENALTY,R0300181,200
PENALTY,R0200181,-40
PENALTY,R0100181,-21
PENALTY,R0300182,200
PENALTY,R0200182,-40
PENALTY,R0100182,-21
PENALTY,R0300183,200
PENALTY,R0200183,-40
PENALTY,R0100183,-21
PENALTY,R0300184,210
PENALTY,R0200184,-42
PENALTY,R0100184,-22.05
PENALTY,R0300185,360
PENALTY,R0200185,-72
PENALTY,R0100185,-37.8
PENALTY,R0300186,440
PENALTY,R0200186,-88
PENALTY,R0100186,-46.2
PENALTY,R0300187,200
PENALTY,R0200187,-40
PENALTY,R0100187,-21
PENALTY,R0300188,200
PENALTY,R0200188,-40
PENALTY,R0100188,-21
PENALTY,R0300189,660
PENALTY,R0200189,-132
PENALTY,R0100189,-69.3
PENALTY,R0300190,200
PENALTY,R0200190,-40
PENALTY,R0100190,-21
PENALTY,R0300191,200
PENALTY,R0200191,-40
PENALTY,R0100191,-21
PENALTY,R0300192,390
PENALTY,R0200192,-78
PENALTY,R0100192,-40.95
PENALTY,R0300193,200
PENALTY,R0200193,-40
PENALTY,R0100193,-21
PENALTY,R0300194,390
PENALTY,R0200194,-78
PENALTY,R0100194,-40.95
PENALTY,R0300195,240
PENALTY,R0200195,-48
PENALTY,R0100195,-25.2
PENALTY,R0300196,200
PENALTY,R0200196,-40
PENALTY,R0100196,-21
PENALTY,R0300197,200
PENALTY,R0200197,-40
PENALTY,R0100197,-21
PENALTY,R0300198,220
PENALTY,R0200198,-44
PENALTY,R0100198,-23.1
PENALTY,R0300199,200
PENALTY,R0200199,-40
PENALTY,R0100199,-21
PENALTY,R0300200,440
PENALTY,R0200200,-88
PENALTY,R0100200,-46.2
PENALTY,R0300201,200
PENALTY,R0200201,-40
PENALTY,R0100201,-21
PENALTY,R0300202,200
PENALTY,R0200202,-40
PENALTY,R0100202,-21
PENALTY,R0300203,220
PENALTY,R0200203,-44
PENALTY,R0100203,-23.1
PENALTY,R0300204,280
PENALTY,R0200204,-56
PENALTY,R0100204,-29.4
PENALTY,R0300205,230
PENALTY,R0200205,-46
PENALTY,R0100205,-24.15
PENALTY,R0300206,200
PENALTY,R0200206,-40
PENALTY,R0100206,-21
PENALTY,R0300207,450
PENALTY,R0200207,-90
PENALTY,R0100207,-47.25
PENALTY,R0300208,200
PENALTY,R0200208,-40
PENALTY,R0100208,-21
PENALTY,R0300209,200
PENALTY,R0200209,-40
PENALTY,R0100209,-21
PENALTY,R0300210,200
PENALTY,R0200210,-40
PENALTY,R0100210,-21
PENALTY,R0300211,230
PENALTY,R0200211,-46
PENALTY,R0100211,-24.15
PENALTY,R0300212,310
PENALTY,R0200212,-62
PENALTY,R0100212,-32.55
PENALTY,R0300213,200
PENALTY,R0200213,-40
PENALTY,R0100213,-21
PENALTY,R0300214,200
PENALTY,R0200214,-40
PENALTY,R0100214,-21
PENALTY,R0300215,200
PENALTY,R0200215,-40
PENALTY,R0100215,-21
PENALTY,R0300216,200
PENALTY,R0200216,-40
PENALTY,R0100216,-21
PENALTY,R0300217,360
PENALTY,R0200217,-72
PENALTY,R0100217,-37.8
PENALTY,R0300218,360
PENALTY,R0200218,-72
PENALTY,R0100218,-37.8
PENALTY,R0300219,200
PENALTY,R0200219,-40
PENALTY,R0100219,-21
PENALTY,R0300220,200
PENALTY,R0200220,-40
PENALTY,R0100220,-21
PENALTY,R0300221,1060
PENALTY,R0200221,-212
PENALTY,R0100221,-111.3
PENALTY,R0300222,210
PENALTY,R0200222,-42
PENALTY,R0100222,-22.05
PENALTY,R0300223,220
PENALTY,R0200223,-44
PENALTY,R0100223,-23.1
PENALTY,R0300224,200
PENALTY,R0200224,-40
PENALTY,R0100224,-21
PENALTY,R0300225,460
PENALTY,R0200225,-92
PENALTY,R0100225,-48.3
PENALTY,R0300226,220
PENALTY,R0200226,-44
PENALTY,R0100226,-23.1
PENALTY,R0300227,350
PENALTY,R0200227,-70
PENALTY,R0100227,-36.75
PENALTY,R0300228,430
PENALTY,R0200228,-86
PENALTY,R0100228,-45.15
PENALTY,R0300229,200
PENALTY,R0200229,-40
PENALTY,R0100229,-21
PENALTY,R0300230,200
PENALTY,R0200230,-40
PENALTY,R0100230,-21
PENALTY,R0300231,200
PENALTY,R0200231,-40
PENALTY,R0100231,-21
PENALTY,R0300232,200
PENALTY,R0200232,-40
PENALTY,R0100232,-21
PENALTY,R0300233,200
PENALTY,R0200233,-40
PENALTY,R0100233,-21
PENALTY,R0300234,200
PENALTY,R0200234,-40
PENALTY,R0100234,-21
PENALTY,R0300235,520
PENALTY,R0200235,-104
PENALTY,R0100235,-54.6
PENALTY,R0300236,210
PENALTY,R0200236,-42
PENALTY,R0100236,-22.05
PENALTY,R0300237,310
PENALTY,R0200237,-62
PENALTY,R0100237,-32.55
PENALTY,R0300238,220
PENALTY,R0200238,-44
PENALTY,R0100238,-23.1
PENALTY,R0300239,200
PENALTY,R0200239,-40
PENALTY,R0100239,-21
PENALTY,R0300240,220
PENALTY,R0200240,-44
PENALTY,R0100240,-23.1
PENALTY,R0300241,240
PENALTY,R0200241,-48
PENALTY,R0100241,-25.2
PENALTY,R0300242,230
PENALTY,R0200242,-46
PENALTY,R0100242,-24.15
PENALTY,R0300243,200
PENALTY,R0200243,-40
PENALTY,R0100243,-21
PENALTY,R0300244,260
PENALTY,R0200244,-52
PENALTY,R0100244,-27.3
PENALTY,R0300245,200
PENALTY,R0200245,-40
PENALTY,R0100245,-21
PENALTY,R0300246,350
PENALTY,R0200246,-70
PENALTY,R0100246,-36.75
PENALTY,R0300247,200
PENALTY,R0200247,-40
PENALTY,R0100247,-21
PENALTY,R0300248,200
PENALTY,R0200248,-40
PENALTY,R0100248,-21
PENALTY,R0300249,200
PENALTY,R0200249,-40
PENALTY,R0100249,-21
PENALTY,R0300250,200
PENALTY,R0200250,-40
PENALTY,R0100250,-21
PENALTY,R0300251,360
PENALTY,R0200251,-72
PENALTY,R0100251,-37.8
PENALTY,R0300252,200
PENALTY,R0200252,-40
PENALTY,R0100252,-21
PENALTY,R0300253,200
PENALTY,R0200253,-40
PENALTY,R0100253,-21
PENALTY,R0300254,200
PENALTY,R0200254,-40
PENALTY,R0100254,-21
PENALTY,R0300255,200
PENALTY,R0200255,-40
PENALTY,R0100255,-21
PENALTY,R0300256,220
PENALTY,R0200256,-44
PENALTY,R0100256,-23.1
PENALTY,R0300257,410
PENALTY,R0200257,-82
PENALTY,R0100257,-43.05
PENALTY,R0300258,200
PENALTY,R0200258,-40
PENALTY,R0100258,-21
PENALTY,R0300259,200
PENALTY,R0200259,-40
PENALTY,R0100259,-21
PENALTY,R0300260,200
PENALTY,R0200260,-40
PENALTY,R0100260,-21
PENALTY,R0300261,810
PENALTY,R0200261,-162
PENALTY,R0100261,-85.05
PENALTY,R0300262,230
PENALTY,R0200262,-46
PENALTY,R0100262,-24.15
PENALTY,R0300263,200
PENALTY,R0200263,-40
PENALTY,R0100263,-21
PENALTY,R0300264,200
PENALTY,R0200264,-40
PENALTY,R0100264,-21
PENALTY,R0300265,200
PENALTY,R0200265,-40
PENALTY,R0100265,-21
PENALTY,R0300266,290
PENALTY,R0200266,-58
PENALTY,R0100266,-30.45
PENALTY,R0300267,320
PENALTY,R0200267,-64
PENALTY,R0100267,-33.6
PENALTY,R0300268,200
PENALTY,R0200268,-40
PENALTY,R0100268,-21
PENALTY,R0300269,520
PENALTY,R0200269,-104
PENALTY,R0100269,-54.6
PENALTY,R0300270,200
PENALTY,R0200270,-40
PENALTY,R0100270,-21
PENALTY,R0300271,200
PENALTY,R0200271,-40
PENALTY,R0100271,-21
PENALTY,R0300272,200
PENALTY,R0200272,-40
PENALTY,R0100272,-21
PENALTY,R0300273,200
PENALTY,R0200273,-40
PENALTY,R0100273,-21
PENALTY,R0300274,200
PENALTY,R0200274,-40
PENALTY,R0100274,-21
PENALTY,R0300275,200
PENALTY,R0200275,-40
PENALTY,R0100275,-21
PENALTY,R0300276,200
PENALTY,R0200276,-40
PENALTY,R0100276,-21
PENALTY,R0300277,200
PENALTY,R0200277,-40
PENALTY,R0100277,-21
PENALTY,R0300278,200
PENALTY,R0200278,-40
PENALTY,R0100278,-21
PENALTY,R0300279,200
PENALTY,R0200279,-40
PENALTY,R0100279,-21
PENALTY,R0300280,200
PENALTY,R0200280,-40
PENALTY,R0100280,-21
PENALTY,R0300281,200
PENALTY,R0200281,-40
PENALTY,R0100281,-21
PENALTY,R0300282,200
PENALTY,R0200282,-40
PENALTY,R0100282,-21
PENALTY,R0300283,200
PENALTY,R0200283,-40
PENALTY,R0100283,-21
PENALTY,R0300284,200
PENALTY,R0200284,-40
PENALTY,R0100284,-21
PENALTY,R0300285,210
PENALTY,R0200285,-42
PENALTY,R0100285,-22.05
PENALTY,R0300286,200
PENALTY,R0200286,-40
PENALTY,R0100286,-21
PENALTY,R0300287,230
PENALTY,R0200287,-46
PENALTY,R0100287,-24.15
PENALTY,R0300288,210
PENALTY,R0200288,-42
PENALTY,R0100288,-22.05
PENALTY,R0300289,200
PENALTY,R0200289,-40
PENALTY,R0100289,-21
PENALTY,R0300290,200
PENALTY,R0200290,-40
PENALTY,R0100290,-21
PENALTY,R0300291,200
PENALTY,R0200291,-40
PENALTY,R0100291,-21
PENALTY,R0300292,200
PENALTY,R0200292,-40
PENALTY,R0100292,-21
PENALTY,R0300293,200
PENALTY,R0200293,-40
PENALTY,R0100293,-21
PENALTY,R0300294,200
PENALTY,R0200294,-40
PENALTY,R0100294,-21
PENALTY,R0300295,520
PENALTY,R0200295,-104
PENALTY,R0100295,-54.6
PENALTY,R0300296,280
PENALTY,R0200296,-56
PENALTY,R0100296,-29.4
PENALTY,R0300297,320
PENALTY,R0200297,-64
PENALTY,R0100297,-33.6
PENALTY,R0300298,300
PENALTY,R0200298,-60
PENALTY,R0100298,-31.5
PENALTY,R0300299,240
PENALTY,R0200299,-48
PENALTY,R0100299,-25.2
PENALTY,R0300300,200
PENALTY,R0200300,-40
PENALTY,R0100300,-21
PENALTY,R0300301,210
PENALTY,R0200301,-42
PENALTY,R0100301,-22.05
PENALTY,R0300302,200
PENALTY,R0200302,-40
PENALTY,R0100302,-21
PENALTY,R0300303,200
PENALTY,R0200303,-40
PENALTY,R0100303,-21
PENALTY,R0300304,310
PENALTY,R0200304,-62
PENALTY,R0100304,-32.55
PENALTY,R0300305,250
PENALTY,R0200305,-50
PENALTY,R0100305,-26.25
PENALTY,R0300306,200
PENALTY,R0200306,-40
PENALTY,R0100306,-21
PENALTY,R0300307,200
PENALTY,R0200307,-40
PENALTY,R0100307,-21
PENALTY,R0300308,200
PENALTY,R0200308,-40
PENALTY,R0100308,-21
PENALTY,R0300309,200
PENALTY,R0200309,-40
PENALTY,R0100309,-21
PENALTY,R0300310,200
PENALTY,R0200310,-40
PENALTY,R0100310,-21
PENALTY,R0300311,200
PENALTY,R0200311,-40
PENALTY,R0100311,-21
PENALTY,R0300312,200
PENALTY,R0200312,-40
PENALTY,R0100312,-21
PENALTY,R0300313,200
PENALTY,R0200313,-40
PENALTY,R0100313,-21
PENALTY,R0300314,410
PENALTY,R0200314,-82
PENALTY,R0100314,-43.05
PENALTY,R0300315,200
PENALTY,R0200315,-40
PENALTY,R0100315,-21
PENALTY,R0300316,200
PENALTY,R0200316,-40
PENALTY,R0100316,-21
PENALTY,R0300317,200
PENALTY,R0200317,-40
PENALTY,R0100317,-21
PENALTY,R0300318,200
PENALTY,R0200318,-40
PENALTY,R0100318,-21
PENALTY,R0300319,200
PENALTY,R0200319,-40
PENALTY,R0100319,-21
PENALTY,R0300320,200
PENALTY,R0200320,-40
PENALTY,R0100320,-21
PENALTY,R0300321,200
PENALTY,R0200321,-40
PENALTY,R0100321,-21
PENALTY,R0300322,200
PENALTY,R0200322,-40
PENALTY,R0100322,-21
PENALTY,R0300323,200
PENALTY,R0200323,-40
PENALTY,R0100323,-21
PENALTY,R0300324,200
PENALTY,R0200324,-40
PENALTY,R0100324,-21
PENALTY,R0300325,350
PENALTY,R0200325,-70
PENALTY,R0100325,-36.75
PENALTY,R0300326,200
PENALTY,R0200326,-40
PENALTY,R0100326,-21
PENALTY,R0300327,210
PENALTY,R0200327,-42
PENALTY,R0100327,-22.05
PENALTY,R0300328,200
PENALTY,R0200328,-40
PENALTY,R0100328,-21
PENALTY,R0300329,220
PENALTY,R0200329,-44
PENALTY,R0100329,-23.1
PENALTY,R0300330,200
PENALTY,R0200330,-40
PENALTY,R0100330,-21
PENALTY,R0300331,200
PENALTY,R0200331,-40
PENALTY,R0100331,-21
PENALTY,R0300332,200
PENALTY,R0200332,-40
PENALTY,R0100332,-21
PENALTY,R0300333,200
PENALTY,R0200333,-40
PENALTY,R0100333,-21
PENALTY,R0300334,200
PENALTY,R0200334,-40
PENALTY,R0100334,-21
PENALTY,R0300335,200
PENALTY,R0200335,-40
PENALTY,R0100335,-21
PENALTY,R0300336,200
PENALTY,R0200336,-40
