variable_name,type,lower_bound,upper_bound
R0101109,DoubleBound,0,0.5
R0401695,DoubleBound,0,8
R0100977,DoubleBound,0,0.5
R0402341,DoubleBound,0,8
R0302616,DoubleBound,0,1
R0202663,DoubleBound,0,1
R0201956,DoubleBound,0,1
R0100812,DoubleBound,0,0.5
R0201224,DoubleBound,0,1
R0402454,DoubleBound,0,8
R0202593,DoubleBound,0,1
R0101749,DoubleBound,0,1
R0302425,DoubleBound,0,1
R0102445,DoubleBound,0,1
R0202888,DoubleBound,0,1
R0302469,DoubleBound,0,1
R0102412,DoubleBound,0,1
R0202737,DoubleBound,0,1
R0302948,DoubleBound,0,1
R0301153,DoubleBound,0,1
R0101047,DoubleBound,0,0.5
R0101096,DoubleBound,0,0.5
R0300921,DoubleBound,0,1
R0302886,DoubleBound,0,1
R0402921,DoubleBound,0,8
R0401889,DoubleBound,0,8
R0202060,DoubleBound,0,1
R0302225,DoubleBound,0,1
R0301543,DoubleBound,0,1
R0102874,DoubleBound,0,1
R0100742,DoubleBound,0,0.5
R0402596,DoubleBound,0,8
R0202688,DoubleBound,0,1
R0200502,DoubleBound,0,1
R0101917,DoubleBound,0,1
R0201513,DoubleBound,0,1
R0401994,DoubleBound,0,8
R0300124,DoubleBound,0,1
R0302678,DoubleBound,0,1
R0401512,DoubleBound,0,8
R0302331,DoubleBound,0,1
R0201206,DoubleBound,0,1
R0300069,DoubleBound,0,1
R0202692,DoubleBound,0,1
R0101186,DoubleBound,0,0.5
R0100021,DoubleBound,0,0.5
R0401858,DoubleBound,0,8
R0300368,DoubleBound,0,1
R0101072,DoubleBound,0,0.5
R0202341,DoubleBound,0,1
R0202376,DoubleBound,0,1
R0101691,DoubleBound,0,1
R0101598,DoubleBound,0,1
R0401660,DoubleBound,0,8
R0402904,DoubleBound,0,8
R0200159,DoubleBound,0,1
R0402967,DoubleBound,0,8
R0302382,DoubleBound,0,1
R0102147,DoubleBound,0,1
R0301048,DoubleBound,0,1
R0102267,DoubleBound,0,1
R0402692,DoubleBound,0,8
R0201688,DoubleBound,0,1
R0200416,DoubleBound,0,1
R0101022,DoubleBound,0,0.5
R0201211,DoubleBound,0,1
R0401808,DoubleBound,0,8
R0402543,DoubleBound,0,8
R0302999,DoubleBound,0,1
R0201099,DoubleBound,0,1
R0201314,DoubleBound,0,1
R0101459,DoubleBound,0,0.5
R0402977,DoubleBound,0,8
R0200460,DoubleBound,0,1
R0301041,DoubleBound,0,1
R0101379,DoubleBound,0,0.5
R0101288,DoubleBound,0,0.5
R0101523,DoubleBound,0,1
R0100535,DoubleBound,0,0.5
R0300056,DoubleBound,0,1
R0301003,DoubleBound,0,1
R0401692,DoubleBound,0,8
R0300115,DoubleBound,0,1
R0302290,DoubleBound,0,1
R0101249,DoubleBound,0,0.5
R0301407,DoubleBound,0,1
R0300880,DoubleBound,0,1
R0201276,DoubleBound,0,1
R0100697,DoubleBound,0,0.5
R0200195,DoubleBound,0,1
R0201873,DoubleBound,0,1
R0202348,DoubleBound,0,1
R0100902,DoubleBound,0,0.5
R0401725,DoubleBound,0,8
R0101219,DoubleBound,0,0.5
R0402460,DoubleBound,0,8
R0102435,DoubleBound,0,1
R0100306,DoubleBound,0,0.5
R0301192,DoubleBound,0,1
R0100341,DoubleBound,0,0.5
R0301664,DoubleBound,0,1
R0300417,DoubleBound,0,1
R0101224,DoubleBound,0,0.5
R0200753,DoubleBound,0,1
R0402628,DoubleBound,0,8
R0300669,DoubleBound,0,1
R0402651,DoubleBound,0,8
R0102492,DoubleBound,0,1
R0102442,DoubleBound,0,1
R0300929,DoubleBound,0,1
R0301014,DoubleBound,0,1
R0401539,DoubleBound,0,8
R0302600,DoubleBound,0,1
R0102886,DoubleBound,0,1
R0201460,DoubleBound,0,1
R0101370,DoubleBound,0,0.5
R0301831,DoubleBound,0,1
R0300786,DoubleBound,0,1
R0200267,DoubleBound,0,1
R0302699,DoubleBound,0,1
R0402204,DoubleBound,0,8
R0300998,DoubleBound,0,1
R0101264,DoubleBound,0,0.5
R0200597,DoubleBound,0,1
R0102138,DoubleBound,0,1
R0102504,DoubleBound,0,1
R0100650,DoubleBound,0,0.5
R0100930,DoubleBound,0,0.5
R0402259,DoubleBound,0,8
R0100557,DoubleBound,0,0.5
R0301059,DoubleBound,0,1
R0402296,DoubleBound,0,8
R0202176,DoubleBound,0,1
R0401582,DoubleBound,0,8
R0202120,DoubleBound,0,1
R0402529,DoubleBound,0,8
R0302962,DoubleBound,0,1
R0202984,DoubleBound,0,1
R0102238,DoubleBound,0,1
R0302645,DoubleBound,0,1
R0202867,DoubleBound,0,1
R0200872,DoubleBound,0,1
R0202668,DoubleBound,0,1
R0200773,DoubleBound,0,1
R0300428,DoubleBound,0,1
R0402404,DoubleBound,0,8
R0402782,DoubleBound,0,8
R0101019,DoubleBound,0,0.5
R0402326,DoubleBound,0,8
R0100661,DoubleBound,0,0.5
R0301360,DoubleBound,0,1
R0301564,DoubleBound,0,1
R0201595,DoubleBound,0,1
R0100555,DoubleBound,0,0.5
R0202802,DoubleBound,0,1
R0102917,DoubleBound,0,1
R0200468,DoubleBound,0,1
R0101371,DoubleBound,0,0.5
R0401544,DoubleBound,0,8
R0402030,DoubleBound,0,8
R0302658,DoubleBound,0,1
R0200188,DoubleBound,0,1
R0202213,DoubleBound,0,1
R0202690,DoubleBound,0,1
R0101974,DoubleBound,0,1
R0100911,DoubleBound,0,0.5
R0402089,DoubleBound,0,8
R0402220,DoubleBound,0,8
R0302421,DoubleBound,0,1
R0302390,DoubleBound,0,1
R0202554,DoubleBound,0,1
R0402948,DoubleBound,0,8
R0201235,DoubleBound,0,1
R0100795,DoubleBound,0,0.5
R0202957,DoubleBound,0,1
R0301150,DoubleBound,0,1
R0102336,DoubleBound,0,1
R0201945,DoubleBound,0,1
R0101537,DoubleBound,0,1
R0202582,DoubleBound,0,1
R0402011,DoubleBound,0,8
R0402732,DoubleBound,0,8
R0300004,DoubleBound,0,1
R0301433,DoubleBound,0,1
R0402106,DoubleBound,0,8
R0402794,DoubleBound,0,8
R0202021,DoubleBound,0,1
R0102007,DoubleBound,0,1
R0401637,DoubleBound,0,8
R0301770,DoubleBound,0,1
R0300993,DoubleBound,0,1
R0300075,DoubleBound,0,1
R0100063,DoubleBound,0,0.5
R0200528,DoubleBound,0,1
R0100419,DoubleBound,0,0.5
R0302419,DoubleBound,0,1
R0300384,DoubleBound,0,1
R0101717,DoubleBound,0,1
R0102838,DoubleBound,0,1
R0201195,DoubleBound,0,1
R0202948,DoubleBound,0,1
R0300997,DoubleBound,0,1
R0302637,DoubleBound,0,1
R0101815,DoubleBound,0,1
R0301679,DoubleBound,0,1
R0200174,DoubleBound,0,1
R0401632,DoubleBound,0,8
R0402083,DoubleBound,0,8
R0302746,DoubleBound,0,1
R0402256,DoubleBound,0,8
R0202573,DoubleBound,0,1
R0102613,DoubleBound,0,1
R0102798,DoubleBound,0,1
R0100041,DoubleBound,0,0.5
R0300095,DoubleBound,0,1
R0402727,DoubleBound,0,8
R0100385,DoubleBound,0,0.5
R0202538,DoubleBound,0,1
R0302615,DoubleBound,0,1
R0201045,DoubleBound,0,1
R0100307,DoubleBound,0,0.5
R0100448,DoubleBound,0,0.5
R0402261,DoubleBound,0,8
R0102229,DoubleBound,0,1
R0100833,DoubleBound,0,0.5
R0401939,DoubleBound,0,8
R0402474,DoubleBound,0,8
R0402627,DoubleBound,0,8
R0201889,DoubleBound,0,1
R0202370,DoubleBound,0,1
R0402579,DoubleBound,0,8
R0202246,DoubleBound,0,1
R0201586,DoubleBound,0,1
R0300068,DoubleBound,0,1
R0402095,DoubleBound,0,8
R0102265,DoubleBound,0,1
R0100442,DoubleBound,0,0.5
R0302669,DoubleBound,0,1
R0101355,DoubleBound,0,0.5
R0100321,DoubleBound,0,0.5
R0302411,DoubleBound,0,1
R0300432,DoubleBound,0,1
R0402015,DoubleBound,0,8
R0302399,DoubleBound,0,1
R0302166,DoubleBound,0,1
R0401821,DoubleBound,0,8
R0301581,DoubleBound,0,1
R0100351,DoubleBound,0,0.5
R0301573,DoubleBound,0,1
R0401680,DoubleBound,0,8
R0300211,DoubleBound,0,1
R0401909,DoubleBound,0,8
R0202381,DoubleBound,0,1
R0202846,DoubleBound,0,1
R0302931,DoubleBound,0,1
R0102705,DoubleBound,0,1
R0301627,DoubleBound,0,1
R0302222,DoubleBound,0,1
R0202866,DoubleBound,0,1
R0201304,DoubleBound,0,1
R0102452,DoubleBound,0,1
R0102233,DoubleBound,0,1
R0101393,DoubleBound,0,0.5
R0402196,DoubleBound,0,8
R0302416,DoubleBound,0,1
R0302312,DoubleBound,0,1
R0201137,DoubleBound,0,1
R0101128,DoubleBound,0,0.5
R0102080,DoubleBound,0,1
R0101889,DoubleBound,0,1
R0101626,DoubleBound,0,1
R0101396,DoubleBound,0,0.5
R0300058,DoubleBound,0,1
R0301163,DoubleBound,0,1
R0102623,DoubleBound,0,1
R0100959,DoubleBound,0,0.5
R0300171,DoubleBound,0,1
R0200068,DoubleBound,0,1
R0402173,DoubleBound,0,8
R0302359,DoubleBound,0,1
R0402533,DoubleBound,0,8
R0301347,DoubleBound,0,1
R0100718,DoubleBound,0,0.5
R0100579,DoubleBound,0,0.5
R0200253,DoubleBound,0,1
R0402986,DoubleBound,0,8
R0101557,DoubleBound,0,1
R0302344,DoubleBound,0,1
R0100511,DoubleBound,0,0.5
R0401845,DoubleBound,0,8
R0101781,DoubleBound,0,1
R0101757,DoubleBound,0,1
R0202994,DoubleBound,0,1
R0200602,DoubleBound,0,1
R0300255,DoubleBound,0,1
R0202400,DoubleBound,0,1
R0101659,DoubleBound,0,1
R0200579,DoubleBound,0,1
R0401634,DoubleBound,0,8
R0302084,DoubleBound,0,1
R0402508,DoubleBound,0,8
R0102706,DoubleBound,0,1
R0201449,DoubleBound,0,1
R0300307,DoubleBound,0,1
R0202670,DoubleBound,0,1
R0100421,DoubleBound,0,0.5
R0200647,DoubleBound,0,1
R0102155,DoubleBound,0,1
R0100763,DoubleBound,0,0.5
R0302243,DoubleBound,0,1
R0402829,DoubleBound,0,8
R0200199,DoubleBound,0,1
R0401846,DoubleBound,0,8
R0402312,DoubleBound,0,8
R0101722,DoubleBound,0,1
R0102154,DoubleBound,0,1
R0200355,DoubleBound,0,1
R0302884,DoubleBound,0,1
R0202185,DoubleBound,0,1
R0302875,DoubleBound,0,1
R0101591,DoubleBound,0,1
R0201384,DoubleBound,0,1
R0300469,DoubleBound,0,1
R0100807,DoubleBound,0,0.5
R0401535,DoubleBound,0,8
R0301084,DoubleBound,0,1
R0301859,DoubleBound,0,1
R0202558,DoubleBound,0,1
R0300565,DoubleBound,0,1
R0402879,DoubleBound,0,8
R0202366,DoubleBound,0,1
R0300327,DoubleBound,0,1
R0402941,DoubleBound,0,8
R0200179,DoubleBound,0,1
R0200126,DoubleBound,0,1
R0201592,DoubleBound,0,1
R0201950,DoubleBound,0,1
R0302521,DoubleBound,0,1
R0402971,DoubleBound,0,8
R0200292,DoubleBound,0,1
R0201410,DoubleBound,0,1
R0102502,DoubleBound,0,1
R0302395,DoubleBound,0,1
R0100738,DoubleBound,0,0.5
R0102183,DoubleBound,0,1
R0200151,DoubleBound,0,1
R0200514,DoubleBound,0,1
R0200392,DoubleBound,0,1
R0100842,DoubleBound,0,0.5
R0300137,DoubleBound,0,1
R0200693,DoubleBound,0,1
R0101093,DoubleBound,0,0.5
R0201234,DoubleBound,0,1
R0100572,DoubleBound,0,0.5
R0302001,DoubleBound,0,1
R0100255,DoubleBound,0,0.5
R0200228,DoubleBound,0,1
R0401981,DoubleBound,0,8
R0402110,DoubleBound,0,8
R0302466,DoubleBound,0,1
R0200208,DoubleBound,0,1
R0302473,DoubleBound,0,1
R0201570,DoubleBound,0,1
R0102522,DoubleBound,0,1
R0100100,DoubleBound,0,0.5
R0300192,DoubleBound,0,1
R0301585,DoubleBound,0,1
R0202431,DoubleBound,0,1
R0201856,DoubleBound,0,1
R0202631,DoubleBound,0,1
R0102627,DoubleBound,0,1
R0402735,DoubleBound,0,8
R0302044,DoubleBound,0,1
R0102871,DoubleBound,0,1
R0102577,DoubleBound,0,1
R0101255,DoubleBound,0,0.5
R0401878,DoubleBound,0,8
R0302718,DoubleBound,0,1
R0301789,DoubleBound,0,1
R0101944,DoubleBound,0,1
R0402090,DoubleBound,0,8
R0202955,DoubleBound,0,1
R0300017,DoubleBound,0,1
R0302560,DoubleBound,0,1
R0100347,DoubleBound,0,0.5
R0300847,DoubleBound,0,1
R0102141,DoubleBound,0,1
R0401562,DoubleBound,0,8
R0401736,DoubleBound,0,8
R0200735,DoubleBound,0,1
R0201871,DoubleBound,0,1
R0401978,DoubleBound,0,8
R0100741,DoubleBound,0,0.5
R0300528,DoubleBound,0,1
R0302185,DoubleBound,0,1
R0402283,DoubleBound,0,8
R0302812,DoubleBound,0,1
R0200571,DoubleBound,0,1
R0101085,DoubleBound,0,0.5
R0301870,DoubleBound,0,1
R0201602,DoubleBound,0,1
R0202902,DoubleBound,0,1
R0102318,DoubleBound,0,1
R0202897,DoubleBound,0,1
R0102927,DoubleBound,0,1
R0101894,DoubleBound,0,1
R0101382,DoubleBound,0,0.5
R0101456,DoubleBound,0,0.5
R0300016,DoubleBound,0,1
R0100425,DoubleBound,0,0.5
R0200180,DoubleBound,0,1
R0200900,DoubleBound,0,1
R0402416,DoubleBound,0,8
R0402266,DoubleBound,0,8
R0100832,DoubleBound,0,0.5
R0201484,DoubleBound,0,1
R0102439,DoubleBound,0,1
R0102622,DoubleBound,0,1
R0402646,DoubleBound,0,8
R0302969,DoubleBound,0,1
R0300405,DoubleBound,0,1
R0300091,DoubleBound,0,1
R0201220,DoubleBound,0,1
R0402604,DoubleBound,0,8
R0302125,DoubleBound,0,1
R0402290,DoubleBound,0,8
R0100065,DoubleBound,0,0.5
R0301333,DoubleBound,0,1
R0301061,DoubleBound,0,1
R0200305,DoubleBound,0,1
R0202909,DoubleBound,0,1
R0201051,DoubleBound,0,1
R0402548,DoubleBound,0,8
R0301650,DoubleBound,0,1
R0202301,DoubleBound,0,1
R0302426,DoubleBound,0,1
R0202662,DoubleBound,0,1
R0302749,DoubleBound,0,1
R0200447,DoubleBound,0,1
R0402197,DoubleBound,0,8
R0101714,DoubleBound,0,1
R0200434,DoubleBound,0,1
R0100926,DoubleBound,0,0.5
R0402622,DoubleBound,0,8
R0202730,DoubleBound,0,1
R0100570,DoubleBound,0,0.5
R0302067,DoubleBound,0,1
R0102913,DoubleBound,0,1
R0101551,DoubleBound,0,1
R0402577,DoubleBound,0,8
R0201419,DoubleBound,0,1
R0402471,DoubleBound,0,8
R0101095,DoubleBound,0,0.5
R0302070,DoubleBound,0,1
R0100597,DoubleBound,0,0.5
R0100841,DoubleBound,0,0.5
R0300860,DoubleBound,0,1
R0201381,DoubleBound,0,1
R0201054,DoubleBound,0,1
R0100199,DoubleBound,0,0.5
R0102312,DoubleBound,0,1
R0200999,DoubleBound,0,1
R0101091,DoubleBound,0,0.5
R0301334,DoubleBound,0,1
R0102645,DoubleBound,0,1
R0200771,DoubleBound,0,1
R0302881,DoubleBound,0,1
R0300935,DoubleBound,0,1
R0102090,DoubleBound,0,1
R0301445,DoubleBound,0,1
R0201846,DoubleBound,0,1
R0302905,DoubleBound,0,1
R0300519,DoubleBound,0,1
R0100566,DoubleBound,0,0.5
R0100569,DoubleBound,0,0.5
R0101032,DoubleBound,0,0.5
R0401866,DoubleBound,0,8
R0301880,DoubleBound,0,1
R0300820,DoubleBound,0,1
R0302059,DoubleBound,0,1
R0302169,DoubleBound,0,1
R0302391,DoubleBound,0,1
R0401903,DoubleBound,0,8
R0200916,DoubleBound,0,1
R0301035,DoubleBound,0,1
R0100526,DoubleBound,0,0.5
R0201665,DoubleBound,0,1
R0300660,DoubleBound,0,1
R0302280,DoubleBound,0,1
R0200176,DoubleBound,0,1
R0201066,DoubleBound,0,1
R0302794,DoubleBound,0,1
R0201702,DoubleBound,0,1
R0101358,DoubleBound,0,0.5
R0100134,DoubleBound,0,0.5
R0301363,DoubleBound,0,1
R0100211,DoubleBound,0,0.5
R0101207,DoubleBound,0,0.5
R0101259,DoubleBound,0,0.5
R0201983,DoubleBound,0,1
R0301441,DoubleBound,0,1
R0100218,DoubleBound,0,0.5
R0300945,DoubleBound,0,1
R0302151,DoubleBound,0,1
R0302354,DoubleBound,0,1
R0202744,DoubleBound,0,1
R0102751,DoubleBound,0,1
R0402874,DoubleBound,0,8
R0102686,DoubleBound,0,1
R0100124,DoubleBound,0,0.5
R0101853,DoubleBound,0,1
R0202912,DoubleBound,0,1
R0201614,DoubleBound,0,1
R0202078,DoubleBound,0,1
R0200121,DoubleBound,0,1
R0201236,DoubleBound,0,1
R0202335,DoubleBound,0,1
R0101077,DoubleBound,0,0.5
R0202112,DoubleBound,0,1
R0202951,DoubleBound,0,1
R0201865,DoubleBound,0,1
R0101669,DoubleBound,0,1
R0202327,DoubleBound,0,1
R0102590,DoubleBound,0,1
R0201878,DoubleBound,0,1
R0200466,DoubleBound,0,1
R0300426,DoubleBound,0,1
R0200069,DoubleBound,0,1
R0200474,DoubleBound,0,1
R0202191,DoubleBound,0,1
R0100282,DoubleBound,0,0.5
R0201001,DoubleBound,0,1
R0100976,DoubleBound,0,0.5
R0100980,DoubleBound,0,0.5
R0402429,DoubleBound,0,8
R0202548,DoubleBound,0,1
